id,nombre,subregion,altitud_msnm,temperatura_c,distancia_medellin_km,tiempo_medellin,coordenadas,como_llegar,historia,atractivos,gastronomia,festividades,tipo_via,dificultad_moto,tips_moto,poblacion,notas_adicionales,updated_at,nombre_norm
armenia-ant,Armenia (Antioquia),Occidente,1700,19,90,2h,"{'lat': 6.1559, 'lng': -75.7529}","Desde Medellín por la vía al Occidente, continuando más allá de Heliconia.","Fundado en 1850. No confundir con la Armenia del Quindío. Municipio agropecuario del Occidente antioqueño, productor de café y ganado. Paisajes montañosos con quebradas y ríos. Poco turismo masivo.","['Parque principal', 'Quebradas', 'Fincas agropecuarias', 'Cultivos de café']","['Café', 'Frijoles', 'Sancocho', 'Chicharrón', 'Cuajada']","['Fiestas patronales', 'Feria del Campesino']",Carretera departamental sinuosa.,media,"No confundir con Armenia, Quindío. Municipio agropecuario poco conocido turísticamente.",13000,,2026-07-14 12:04:26.281938+00,armenia (antioquia)
barbosa,Barbosa,Valle de Aburrá,1300,23,40,45 min,"{'lat': 6.4379, 'lng': -75.3297}","Autopista Norte, fin del Valle de Aburrá. Punto de partida hacia el Norte antioqueño.","Fundado en 1795. Puerta de entrada al norte de Antioquia y al Nordeste. Su posición geográfica lo convirtió en nodo comercial histórico. Por aquí pasa la vía que conecta a Santa Rosa de Osos, Yarumal y la Costa Atlántica.","['Parque principal', 'Río Medellín', 'Cañón del río Medellín', 'Embalse Malpaso', 'Cerros verdes', 'Estación del ferrocarril (histórica)']","['Sancocho de gallina', 'Chicharrón', 'Morcilla', 'Arepa de chócolo', 'Masato']","['Fiestas patronales', 'Festival Gastronómico']","Autopista Norte, fin del pavimento perfecto. Desde aquí las vías se vuelven más sinuosas.",facil,Última gasolinera grande antes del norte. Punto de decisión: ¿Norte? ¿Nordeste? ¿Magdalena Medio? Llena el tanque aquí.,60000,Último municipio del Valle de Aburrá hacia el norte.,2026-07-14 12:00:58.273533+00,barbosa
bello,Bello,Valle de Aburrá,1425,22,10,15 min,"{'lat': 6.3358, 'lng': -75.557}",Por la Autopista Norte desde Medellín. Salida hacia el Norte del Valle de Aburrá.,"Fundado en 1676. Cuna del poeta Marco Fidel Suárez, único presidente nacido en Antioquia. Municipio industrial, segundo más poblado de Antioquia. Sede de grandes empresas textileras que forjaron la identidad obrera antioqueña.","['Parque La Madre', 'Casa Museo Marco Fidel Suárez', 'Quebrada La García', 'Parque Hacienda', 'Estadio Tulio Ospina', 'Cerro El Padre Amaya', 'Tranvía de Bello']","['Bandeja paisa', 'Arepas', 'Chicharrón', 'Mondongo antioqueño']","['Festival del Bambuco', 'Fiestas de la Virgen del Carmen (julio)', 'Festival Marco Fidel Suárez']","Autopista Norte en excelente estado, múltiples carriles.",facil,Tráfico pesado en horas pico por ser municipio dormitorio. Evitar Autopista Norte 7-9am y 5-7pm. Muchas opciones de parqueo en el centro.,500000,,2026-07-14 12:00:58.273533+00,bello
belmira,Belmira,Norte,2550,13,70,1h25min,"{'lat': 6.6054, 'lng': -75.6655}","Autopista Norte hasta Barbosa o San Pedro, luego vía departamental.","Fundado en 1778. Municipio de clima muy frío con páramos impresionantes. El Páramo de Belmira es uno de los más importantes de Antioquia, fuente de agua para millones de personas. Zona de ecoturismo y avistamiento de fauna de páramo.","['Páramo de Belmira (Reserva Natural)', 'Embalse Riogrande II', 'Quebradas de páramo', 'Frailejones', 'Fauna de páramo', 'Miradores naturales', 'Camping de montaña']","['Trucha de páramo', 'Cuajada', 'Quesito', 'Mazamorra', 'Caldo de costilla', 'Chocolate caliente']","['Fiestas de la Candelaria (febrero)', 'Festival Ecológico del Páramo', 'Festival Cultural']",Vía departamental sinuosa con tramos de afirmado.,media,El Páramo de Belmira es joya ecológica. Temperatura puede bajar a 5°C en la noche. Llevar ropa impermeable y térmica. Los frailejones son espectaculares.,12000,Páramo de Belmira: ecosistema estratégico hídrico de Antioquia.,2026-07-14 12:05:42.236136+00,belmira
betania,Betania,Suroeste,1800,17,140,3h,"{'lat': 5.754, 'lng': -75.9745}",Desde Medellín por Andes.,"Fundado en 1880. Municipio del Suroeste sur, zona cafetera de ladera. Paisajes de montaña verde con cafetales y plátanos. Poco turismo masivo.","['Parque principal', 'Cultivos de café', 'Miradores naturales', 'Ríos de montaña']","['Café', 'Frijoles', 'Sancocho', 'Mazamorra']",['Fiestas patronales'],Carretera departamental.,media,Municipio tranquilo del Suroeste sur.,10000,,2026-07-14 12:07:16.77151+00,betania
betulia,Betulia,Suroeste,1600,19,90,1h50min,"{'lat': 6.1062, 'lng': -75.985}",Desde Medellín por Concordia o por Salgar.,Fundado en 1876. Municipio cafetero del Suroeste central. Zona de montaña con producción de café y plátano. Paisajes de ladera verde.,"['Parque principal', 'Cultivos de café', 'Miradores', 'Ríos']","['Café', 'Frijoles', 'Sancocho', 'Mazamorra']","['Fiestas patronales', 'Feria Cafetera']",Carretera departamental sinuosa.,media,Municipio tranquilo del Suroeste. Café de excelente calidad.,12000,,2026-07-14 12:07:16.77151+00,betulia
briceño,Briceño,Norte,1300,21,210,4h30min,"{'lat': 7.278, 'lng': -75.5381}",Desde Medellín por Yarumal e Ituango o por Valdivia.,"Fundado en 1894. Municipio del Norte profundo de Antioquia, en la frontera con Córdoba. Zona histórica de conflicto. En proceso de normalización. Paisajes de montaña tropical.","['Parque principal', 'Ríos', 'Zonas naturales']","['Sancocho', 'Plátano', 'Yuca', 'Frutas tropicales']",['Fiestas patronales'],"Carretera con tramos difíciles, algunos destapados.",muy_dificil,Zona remota. Solo para moteros con experiencia y preparación. Consultar seguridad.,13000,,2026-07-14 12:05:42.236136+00,briceno
buritica,Buriticá,Occidente,1800,18,85,2h,"{'lat': 6.7249, 'lng': -75.8793}",Desde Santa Fe de Antioquia o desde el norte del Occidente.,Fundado en 1558. Uno de los municipios más antiguos de Antioquia. Zona aurífera históricamente explotada desde la época precolombina. El Cerro Buriticá fue un importante centro minero indígena. Hoy en día hay minería artesanal activa.,"['Minas de oro (activas)', 'Parque principal histórico', 'Cerro Buriticá (precolombino)', 'Iglesia colonial', 'Quebradas auríferas', 'Museo del Oro']","['Frijoles', 'Mazamorra', 'Aguardiente', 'Chicharrón']","['Fiestas del Minero', 'Fiestas patronales']",Carretera departamental sinuosa.,media,Zona minera histórica desde tiempos precolombinos. El municipio más antiguo del Occidente.,10000,"Uno de los municipios más antiguos de Antioquia, zona aurífera desde tiempos precolombinos.",2026-07-14 12:04:26.281938+00,buritica
caceres,Cáceres,Bajo Cauca,50,33,245,5h,"{'lat': 7.582, 'lng': -75.3413}",Desde Medellín por Caucasia.,Fundado en 1576. Uno de los más antiguos de Antioquia. Zona ganadera y minera. A orillas del río Cauca. Historia colonial de minería aurífera.,"['Río Cauca', 'Parque principal histórico', 'Minas históricas', 'Haciendas ganaderas', 'Ciénagas']","['Pescado frito', 'Sancocho de bagre', 'Plátano', 'Yuca', 'Carne asada']","['Fiestas patronales', 'Feria Ganadera']",Carretera nacional e interdepartamental.,dificil,Zona caliente y ganadera. Historia colonial rica.,28000,,2026-07-14 12:08:51.077731+00,caceres
caicedo,Caicedo,Occidente,1800,18,90,2h,"{'lat': 6.411, 'lng': -75.9711}","Desde Medellín por la vía a Santa Fe de Antioquia, luego carretera hacia Caicedo.",Fundado en 1867. Municipio minero histórico. Zona de montañas con explotación de oro artesanal. Produce café y banano. Paisajes de montaña con vista sobre el río Cauca.,"['Parque principal', 'Minas artesanales', 'Miradores sobre el Cauca', 'Cultivos de café', 'Ríos y quebradas']","['Frijoles', 'Café', 'Sancocho de pollo', 'Chicharrón', 'Aguardiente']","['Fiestas patronales', 'Festival del Minero']","Carretera departamental, algunos tramos difíciles.",dificil,Zona minera histórica. Vías pueden estar en mal estado en invierno. Llevar herramientas.,10000,,2026-07-14 12:04:26.281938+00,caicedo
caldas,Caldas,Valle de Aburrá,1750,18,22,30 min,"{'lat': 6.0924, 'lng': -75.6381}","Autopista Sur desde Medellín, continuación hacia el sur del Valle.",Fundado en 1814. Municipio limítrofe entre el Valle de Aburrá y el Suroeste antioqueño. Puerta de entrada al Suroeste. Conserva un bonito parque central y arquitectura republicana. Por aquí se accede al Páramo de Las Palomas y al municipio de Amagá.,"['Parque principal', 'Iglesia San José', 'Quebrada La García', 'Vía al Páramo de Las Palomas', 'Embalse La Fe (parte)', 'Hacienda El Ranchero']","['Chicharrón', 'Frijoles antioqueños', 'Arepa de chócolo', 'Maíz peto', 'Aguardiente']","['Fiestas de San Isidro Labrador (mayo)', 'Festival del Retorno', 'Fiestas patronales San José']","Autopista Sur perfecta, último tramo del Valle de Aburrá.",facil,Desde Caldas se puede iniciar la ruta hacia el Suroeste por la vía a Amagá o continuar a La Pintada. Buen punto de inicio para rutas de un día.,80000,Puerta de entrada al Suroeste Antioqueño.,2026-07-14 12:00:58.273533+00,caldas
campamento,Campamento,Norte,1600,19,120,2h30min,"{'lat': 6.9786, 'lng': -75.2844}",Desde Medellín por Yarumal o desde Amalfi (Nordeste).,Fundado en 1914. Municipio entre el Norte y el Nordeste antioqueño. Zona minera y cafetera. Paisajes de montaña verde con ríos cristalinos.,"['Parque principal', 'Minas artesanales', 'Cultivos de café', 'Ríos de montaña']","['Café', 'Frijoles', 'Mazamorra', 'Sancocho', 'Chicharrón']","['Fiestas patronales', 'Festival Campesino']",Carretera departamental con curvas.,media,Buen punto de inicio para rutas hacia el Nordeste desde el Norte.,12000,,2026-07-14 12:05:42.236136+00,campamento
canasgordas,Cañasgordas,Occidente,1900,17,110,2h30min,"{'lat': 6.749, 'lng': -76.0305}",Desde Medellín por la Autopista al Mar y vía departamental hacia el sur occidente.,"Fundado en 1830. Municipio de montaña del Occidente antioqueño. Zona cafetera y de páramo. Paso hacia la serranía de Abibe. Producción de café, plátano y ganado.","['Parque principal', 'Cultivos de café', 'Serranía de Abibe', 'Quebradas y ríos', 'Bosques nativos']","['Café', 'Frijoles', 'Sancocho de gallina', 'Mazamorra']","['Fiestas patronales', 'Feria Cafetera']",Carretera departamental sinuosa.,media,Paso hacia la zona de Urabá por la serranía de Abibe.,18000,,2026-07-14 12:04:26.281938+00,canasgordas
caracoli,Caracolí,Magdalena Medio,300,30,160,3h,"{'lat': 6.4337, 'lng': -74.5696}",Desde Puerto Berrío o desde la vía a Puerto Nare.,Fundado en 1894. Municipio del Magdalena Medio. Zona de ganadería y agricultura tropical. A orillas del río Magdalena.,"['Río Magdalena', 'Parque principal', 'Cultivos tropicales', 'Ciénagas']","['Pescado frito', 'Plátano', 'Yuca', 'Sancocho', 'Guarapo']","['Fiestas patronales', 'Festival Campesino']",Carretera regional.,media,Zona caliente del Magdalena Medio.,12000,,2026-07-14 12:08:51.077731+00,caracoli
caramanta,Caramanta,Suroeste,2050,15,95,2h,"{'lat': 5.572, 'lng': -75.6546}",Desde Medellín por La Pintada-Valparaíso o por Támesis.,"Fundado en 1814. Municipio limítrofe con Caldas. Zona de alta montaña cafetera. Clima frío y paisaje de montaña verde. Producción de café, papa y hortalizas.","['Parque principal', 'Cultivos de café y papa', 'Páramos', 'Ríos de montaña', 'Miradores hacia Caldas']","['Café', 'Papa chorreada', 'Frijoles', 'Mazamorra', 'Chicharrón']","['Fiestas patronales', 'Feria Agropecuaria']",Carretera departamental con curvas pronunciadas.,media,Municipio fronterizo con Caldas. Rutas de montaña con vistas al Eje Cafetero.,8000,,2026-07-14 12:07:16.77151+00,caramanta
carepa,Carepa,Urabá,30,28,360,6h,"{'lat': 7.7614, 'lng': -76.657}","Desde Medellín por la Autopista al Mar, antes de Apartadó.",Fundado en 1983. Municipio bananero del Urabá. Zona de fincas bananeras extensas. Clima cálido y húmedo. Municipio de reciente creación con economía bananera.,"['Fincas bananeras', 'Parque principal', 'Zona de palma africana', 'Ríos']","['Banano', 'Plátano', 'Sancocho de gallina', 'Mariscos (en restaurantes)', 'Frutas tropicales']","['Fiestas patronales', 'Festival del Banano']",Autopista al Mar en buen estado.,facil,Carepa: municipio bananero. Los cultivos de banano son impresionantes en extensión. Buena parada antes de Apartadó.,55000,,2026-07-14 12:09:50.678603+00,carepa
carmen-de-viboral,El Carmen de Viboral,Oriente,2150,16,60,1h20min,"{'lat': 6.0885, 'lng': -75.3362}","Autopista Medellín-Bogotá, desvío en La Ceja o en Rionegro.","Fundado en 1778. ""La Capital de la Cerámica Antioqueña"". Sus alfarerías producen la famosa loza pintada a mano con flores y pájaros, Patrimonio Cultural de Colombia. Los talleres artesanales se pueden visitar y comprar directamente.","['Alfarerías y talleres de cerámica', 'Parque principal', 'Iglesia colonial', 'Balneario La Mosquitera', 'Quebrada El Palmar', 'Cascada Las Nubes', 'Vereda El Yerbal (naturaleza)']","['Trucha del río', 'Frijoles antioqueños', 'Sancocho de gallina', 'Pan de maíz', 'Cuajada con melao']","['Feria Artesanal de la Cerámica (junio)', 'Fiestas patronales del Carmen', 'Festival de la Trova']","Carretera regional bien mantenida, curvas amables.",facil,El Carmen es famoso por sus cerámicas. Puedes comprar directamente en los talleres. Ruta ideal para un día desde Medellín combinando con Rionegro y Marinilla.,50000,Capital artesanal de la cerámica de Antioquia.,2026-07-14 12:03:11.391593+00,el carmen de viboral
carolina,Carolina del Príncipe,Norte,1700,18,90,2h,"{'lat': 6.7558, 'lng': -75.3271}",Desde Santa Rosa de Osos por vía departamental.,Fundado en 1788. Municipio minero histórico. Zona aurífera del Norte antioqueño. Su paisaje de montaña y arquitectura tradicional lo hacen atractivo. Produce café y oro artesanal.,"['Minas artesanales', 'Parque principal colonial', 'Cascada El Mico', 'Río Guadalupe', 'Miradores']","['Café', 'Frijoles', 'Mazamorra', 'Aguardiente', 'Sancocho']","['Fiestas patronales', 'Festival Minero y Cultural']","Vía departamental, curvas pronunciadas.",media,Municipio bonito con historia minera colonial. Vías estrechas pero bien pavimentadas.,8000,,2026-07-14 12:05:42.236136+00,carolina del principe
caucasia,Caucasia,Bajo Cauca,50,34,280,5h,"{'lat': 7.989, 'lng': -75.1977}",Desde Medellín por Yarumal-Valdivia o por la vía al Norte. Carretera nacional.,Fundado en 1945. Capital del Bajo Cauca antioqueño. Centro urbano más importante de la subregión. Zona ganadera y minera. Puerto fluvial sobre el río Cauca. Clima tropical muy cálido.,"['Río Cauca', 'Puerto fluvial de Caucasia', 'Parque principal', 'Mercado de ganado', 'Haciendas ganaderas', 'Isla del Río Cauca']","['Sancocho de bagre', 'Mojarra frita', 'Plátano', 'Yuca', 'Carne asada', 'Guarapo de caña', 'Cerveza fría']","['Fiestas del Río Cauca (julio)', 'Feria Ganadera y Agroindustrial', 'Festival de la Música Tropical']","Carretera nacional, buen estado.",media,"Caucasia: 34-38°C. Zona muy caliente. Hidratación obligatoria. Capital del Bajo Cauca, buen servicio de gasolina y mecánicos. Mejor salir temprano en la mañana.",100000,Capital del Bajo Cauca antioqueño.,2026-07-14 12:08:51.077731+00,caucasia
chigorodo,Chigorodó,Urabá,30,28,340,5h45min,"{'lat': 7.6699, 'lng': -76.6843}",Desde Medellín por la Autopista al Mar.,Fundado en 1960. Municipio del Urabá central. Zona bananera y de palma africana. Centro de servicios para los trabajadores de las fincas. Clima cálido y húmedo.,"['Parque principal', 'Fincas bananeras', 'Río León', 'Zonas de palma']","['Banano', 'Plátano', 'Sancocho', 'Mariscos', 'Frutas tropicales']","['Fiestas patronales', 'Festival Cultural del Urabá']","Autopista al Mar, buen estado.",facil,Municipio de paso en la ruta al mar. Gasolina disponible.,65000,,2026-07-14 12:09:50.678603+00,chigorodo
cisneros,Cisneros,Nordeste,950,24,100,2h,"{'lat': 6.5333, 'lng': -74.9833}","Desde Medellín por la Autopista Medellín-Bogotá hasta El Santuario, luego vía departamental hacia el norte.",Fundado en 1910. Municipio del Nordeste antioqueño. Zona de paso entre el Oriente y el Nordeste. El Ferrocarril de Antioquia tuvo aquí uno de sus nodos históricos. Clima templado-cálido. Zona cafetera.,"['Parque principal', 'Estación del ferrocarril (histórica)', 'Río Nus', 'Cultivos de café', 'Cascadas El Salto']","['Café', 'Sancocho', 'Frijoles', 'Chicharrón', 'Aguardiente']","['Fiestas patronales', 'Feria del Ferrocarril (histórica)']","Carretera departamental, buen estado.",media,Cisneros: historia del ferrocarril antioqueño. El río Nus ofrece buenas zonas de baño.,22000,Nodo histórico del Ferrocarril de Antioquia.,2026-07-14 12:08:51.077731+00,cisneros
ciudad-bolivar,Ciudad Bolívar,Suroeste,1870,17,120,2h30min,"{'lat': 5.8516, 'lng': -75.9152}",Desde Medellín por Andes o por Urrao.,"Fundado en 1814 como Bolívar, renombrado para distinguirlo del Bolívar costeño. Municipio del Suroeste profundo. Zona cafetera de ladera con producción de café especial. Acceso a la serranía de Las Baldías.","['Parque principal', 'Catedral de Ciudad Bolívar', 'Cultivos de café especial', 'Serranía Las Baldías', 'Ríos de montaña', 'Balnearios']","['Café especial', 'Frijoles', 'Sancocho', 'Mazamorra', 'Chicharrón']","['Fiestas del Patrono San José (marzo)', 'Festival del Café Especial']",Carretera departamental bien pavimentada.,media,Excelente café especial. La serranía Las Baldías ofrece ecoturismo.,40000,,2026-07-14 12:07:16.77151+00,ciudad bolivar
