id,municipio,tipo,establecimiento,telefono,subregion,created_at
51,Betania,Hotel,Hospedaje Betania 4,3126874618,,2026-09-07 22:46:08.780756+00
52,Betania,Hotel,Hotel Principal Betania 1,3142536862,,2026-09-07 22:46:08.780756+00
53,Betania,Hotel,Hotel Principal Betania 1,3012862384,,2026-09-07 22:46:08.780756+00
54,Betania,Restaurante,Restaurante Típico Betania 1,3201623884,,2026-09-07 22:46:08.780756+00
55,Betania,Restaurante,Restaurante Típico Betania 1,3136808649,,2026-09-07 22:46:08.780756+00
56,Betania,Restaurante,Restaurante Típico Betania 2,3141459438,,2026-09-07 22:46:08.780756+00
57,Betania,Restaurante,Restaurante Típico Betania 2,3117561219,,2026-09-07 22:46:08.780756+00
58,Betania,Restaurante,Restaurante Típico Betania 3,3118125163,,2026-09-07 22:46:08.780756+00
59,Betania,Restaurante,Restaurante Típico Betania 3,3019186035,,2026-09-07 22:46:08.780756+00
60,,,,,,2026-09-07 22:46:08.780756+00
61,Betulia,Hotel,Hospedaje Betulia 2,3101498756,,2026-09-07 22:46:08.780756+00
62,Betulia,Hotel,Hospedaje Betulia 2,3137277812,,2026-09-07 22:46:08.780756+00
63,Betulia,Hotel,Hospedaje Betulia 3,3216192149,,2026-09-07 22:46:08.780756+00
64,Betulia,Hotel,Hospedaje Betulia 3,31084989,,2026-09-07 22:46:08.780756+00
65,Betulia,Hotel,Hospedaje Betulia 4,3106393716,,2026-09-07 22:46:08.780756+00
66,Betulia,Hotel,Hospedaje Betulia 4,3117009858,,2026-09-07 22:46:08.780756+00
67,Betulia,Hotel,Hotel Principal Betulia 1,31126307,,2026-09-07 22:46:08.780756+00
68,Betulia,Hotel,Hotel Principal Betulia 1,3116004177,,2026-09-07 22:46:08.780756+00
69,Betulia,Restaurante,Restaurante Típico Betulia 1,30130620,,2026-09-07 22:46:08.780756+00
70,Betulia,Restaurante,Restaurante Típico Betulia 1,3218497632,,2026-09-07 22:46:08.780756+00
71,Betulia,Restaurante,Restaurante Típico Betulia 2,32023157,,2026-09-07 22:46:08.780756+00
72,Betulia,Restaurante,Restaurante Típico Betulia 2,3204627755,,2026-09-07 22:46:08.780756+00
73,Betulia,Restaurante,Restaurante Típico Betulia 3,3201821212,,2026-09-07 22:46:08.780756+00
74,Betulia,Restaurante,Restaurante Típico Betulia 3,3216770808,,2026-09-07 22:46:08.780756+00
75,,,,,,2026-09-07 22:46:08.780756+00
76,Caramanta,Hotel,Hospedaje Caramanta 2,3206635291,,2026-09-07 22:46:08.780756+00
77,Caramanta,Hotel,Hospedaje Caramanta 2,3136238932,,2026-09-07 22:46:08.780756+00
78,Caramanta,Hotel,Hospedaje Caramanta 3,3148506632,,2026-09-07 22:46:08.780756+00
79,Caramanta,Hotel,Hospedaje Caramanta 3,3101969534,,2026-09-07 22:46:08.780756+00
80,Caramanta,Hotel,Hospedaje Caramanta 4,3006280068,,2026-09-07 22:46:08.780756+00
81,Caramanta,Hotel,Hospedaje Caramanta 4,3206814221,,2026-09-07 22:46:08.780756+00
82,Caramanta,Hotel,Hotel Principal Caramanta 1,3118744355,,2026-09-07 22:46:08.780756+00
83,Caramanta,Hotel,Hotel Principal Caramanta 1,3015906733,,2026-09-07 22:46:08.780756+00
84,Caramanta,Restaurante,Restaurante Típico Caramanta 1,3144769394,,2026-09-07 22:46:08.780756+00
85,Caramanta,Restaurante,Restaurante Típico Caramanta 1,3145459666,,2026-09-07 22:46:08.780756+00
86,Caramanta,Restaurante,Restaurante Típico Caramanta 2,3019261224,,2026-09-07 22:46:08.780756+00
87,Caramanta,Restaurante,Restaurante Típico Caramanta 2,3139581764,,2026-09-07 22:46:08.780756+00
88,Caramanta,Restaurante,Restaurante Típico Caramanta 3,3141432389,,2026-09-07 22:46:08.780756+00
89,Caramanta,Restaurante,Restaurante Típico Caramanta 3,32064860,,2026-09-07 22:46:08.780756+00
90,,,,,,2026-09-07 22:46:08.780756+00
91,Ciudad Bolívar,Hotel,Finca Hotel Lagos del Citará,31229892,,2026-09-07 22:46:08.780756+00
92,Ciudad Bolívar,Hotel,Hospedaje Ciudad Bolívar 2,31026639,,2026-09-07 22:46:08.780756+00
93,Ciudad Bolívar,Hotel,Hospedaje Ciudad Bolívar 2,3018178952,,2026-09-07 22:46:08.780756+00
94,Ciudad Bolívar,Hotel,Hospedaje Ciudad Bolívar 3,3109219724,,2026-09-07 22:46:08.780756+00
95,Ciudad Bolívar,Hotel,Hospedaje Ciudad Bolívar 3,3108357239,,2026-09-07 22:46:08.780756+00
96,Ciudad Bolívar,Hotel,Hospedaje Ciudad Bolívar 4,3122284693,,2026-09-07 22:46:08.780756+00
97,Ciudad Bolívar,Hotel,Hospedaje Ciudad Bolívar 4,3106926426,,2026-09-07 22:46:08.780756+00
98,Ciudad Bolívar,Hotel,Hotel Principal Ciudad Bolívar 1,3213009904,,2026-09-07 22:46:08.780756+00
99,Ciudad Bolívar,Hotel,Hotel Principal Ciudad Bolívar 1,3201690333,,2026-09-07 22:46:08.780756+00
100,Ciudad Bolívar,Restaurante,Restaurante Típico Ciudad Bolívar 1,3108718517,,2026-09-07 22:46:08.780756+00
101,Ciudad Bolívar,Restaurante,Restaurante Típico Ciudad Bolívar 1,3107229098,,2026-09-07 22:46:08.780756+00
102,Ciudad Bolívar,Restaurante,Restaurante Típico Ciudad Bolívar 2,3218985291,,2026-09-07 22:46:08.780756+00
103,Ciudad Bolívar,Restaurante,Restaurante Típico Ciudad Bolívar 2,3101440541,,2026-09-07 22:46:08.780756+00
104,Ciudad Bolívar,Restaurante,Restaurante Típico Ciudad Bolívar 3,3011229058,,2026-09-07 22:46:08.780756+00
105,Ciudad Bolívar,Restaurante,Restaurante Típico Ciudad Bolívar 3,31422184,,2026-09-07 22:46:08.780756+00
106,,,,,,2026-09-07 22:46:08.780756+00
107,Concordia,Hotel,Hospedaje Concordia 2,3112582297,,2026-09-07 22:46:08.780756+00
108,Concordia,Hotel,Hospedaje Concordia 2,3123513026,,2026-09-07 22:46:08.780756+00
109,Concordia,Hotel,Hospedaje Concordia 3,3122214556,,2026-09-07 22:46:08.780756+00
110,Concordia,Hotel,Hospedaje Concordia 3,3216907427,,2026-09-07 22:46:08.780756+00
111,Concordia,Hotel,Hospedaje Concordia 4,3015368665,,2026-09-07 22:46:08.780756+00
112,Concordia,Hotel,Hospedaje Concordia 4,3105029799,,2026-09-07 22:46:08.780756+00
113,Concordia,Hotel,Hotel Monteverde,3104265128,,2026-09-07 22:46:08.780756+00
114,Concordia,Hotel,Hotel Principal Concordia 1,3015605512,,2026-09-07 22:46:08.780756+00
115,Concordia,Hotel,Hotel Principal Concordia 1,3111390675,,2026-09-07 22:46:08.780756+00
116,Concordia,Restaurante,Restaurante Típico Concordia 1,3215319883,,2026-09-07 22:46:08.780756+00
117,Concordia,Restaurante,Restaurante Típico Concordia 1,3122045194,,2026-09-07 22:46:08.780756+00
118,Concordia,Restaurante,Restaurante Típico Concordia 2,3138883434,,2026-09-07 22:46:08.780756+00
119,Concordia,Restaurante,Restaurante Típico Concordia 2,3016511052,,2026-09-07 22:46:08.780756+00
120,Concordia,Restaurante,Restaurante Típico Concordia 3,3134533426,,2026-09-07 22:46:08.780756+00
121,Concordia,Restaurante,Restaurante Típico Concordia 3,3113190773,,2026-09-07 22:46:08.780756+00
122,,,,,,2026-09-07 22:46:08.780756+00
123,Fredonia,Hotel,Hospedaje Fredonia 2,3001399789,,2026-09-07 22:46:08.780756+00
124,Fredonia,Hotel,Hospedaje Fredonia 2,3122447277,,2026-09-07 22:46:08.780756+00
125,Fredonia,Hotel,Hospedaje Fredonia 3,3013234198,,2026-09-07 22:46:08.780756+00
126,Fredonia,Hotel,Hospedaje Fredonia 3,3009713801,,2026-09-07 22:46:08.780756+00
127,Fredonia,Hotel,Hospedaje Fredonia 4,3134546992,,2026-09-07 22:46:08.780756+00
128,Fredonia,Hotel,Hospedaje Fredonia 4,3005596923,,2026-09-07 22:46:08.780756+00
129,Fredonia,Hotel,Hotel Principal Fredonia 1,3142409962,,2026-09-07 22:46:08.780756+00
130,Fredonia,Hotel,Hotel Principal Fredonia 1,3015272691,,2026-09-07 22:46:08.780756+00
131,Fredonia,Hotel,Hotel Quinta del Café,31151848,,2026-09-07 22:46:08.780756+00
132,Fredonia,Restaurante,Restaurante Típico Fredonia 1,3136835497,,2026-09-07 22:46:08.780756+00
133,Fredonia,Restaurante,Restaurante Típico Fredonia 1,3006853854,,2026-09-07 22:46:08.780756+00
134,Fredonia,Restaurante,Restaurante Típico Fredonia 2,3013651705,,2026-09-07 22:46:08.780756+00
135,Fredonia,Restaurante,Restaurante Típico Fredonia 2,3131226373,,2026-09-07 22:46:08.780756+00
136,Fredonia,Restaurante,Restaurante Típico Fredonia 3,3128860636,,2026-09-07 22:46:08.780756+00
137,Fredonia,Restaurante,Restaurante Típico Fredonia 3,3117360697,,2026-09-07 22:46:08.780756+00
138,,,,,,2026-09-07 22:46:08.780756+00
139,Hispania,Hotel,Hospedaje Hispania 2,3214871335,,2026-09-07 22:46:08.780756+00
140,Hispania,Hotel,Hospedaje Hispania 2,3131839689,,2026-09-07 22:46:08.780756+00
141,Hispania,Hotel,Hospedaje Hispania 3,3009694918,,2026-09-07 22:46:08.780756+00
142,Hispania,Hotel,Hospedaje Hispania 3,3119470182,,2026-09-07 22:46:08.780756+00
143,Hispania,Hotel,Hospedaje Hispania 4,32090393,,2026-09-07 22:46:08.780756+00
144,Hispania,Hotel,Hospedaje Hispania 4,3004823649,,2026-09-07 22:46:08.780756+00
145,Hispania,Hotel,Hotel Principal Hispania 1,3125262097,,2026-09-07 22:46:08.780756+00
146,Hispania,Hotel,Hotel Principal Hispania 1,3017002334,,2026-09-07 22:46:08.780756+00
147,Hispania,Restaurante,Restaurante Típico Hispania 1,3018723494,,2026-09-07 22:46:08.780756+00
148,Hispania,Restaurante,Restaurante Típico Hispania 1,3148826354,,2026-09-07 22:46:08.780756+00
149,Hispania,Restaurante,Restaurante Típico Hispania 2,3013272794,,2026-09-07 22:46:08.780756+00
150,Hispania,Restaurante,Restaurante Típico Hispania 2,3217228967,,2026-09-07 22:46:08.780756+00
151,Hispania,Restaurante,Restaurante Típico Hispania 3,3107767834,,2026-09-07 22:46:08.780756+00
152,Hispania,Restaurante,Restaurante Típico Hispania 3,3138454793,,2026-09-07 22:46:08.780756+00
153,,,,,,2026-09-07 22:46:08.780756+00
154,Jardín,Hotel,Casa Passiflora Hotel Boutique,31824210,,2026-09-07 22:46:08.780756+00
155,Jardín,Hotel,Hotel Boutique Jardín,3206903621,,2026-09-07 22:46:08.780756+00
156,Jardín,Hotel,Hotel Boutique Jardín,32088759,,2026-09-07 22:46:08.780756+00
157,Jardín,Hotel,Hotel Casa Passiflora,31041285,,2026-09-07 22:46:08.780756+00
158,Jardín,Hotel,Hotel Colonial Jardín,31395689,,2026-09-07 22:46:08.780756+00
159,Jardín,Hotel,Hotel Colonial Jardín,3002530545,,2026-09-07 22:46:08.780756+00
160,Jardín,Hotel,Hotel Hacienda Balandú,60444471,,2026-09-07 22:46:08.780756+00
161,Jardín,Hotel,Hotel Plantación,3127896543,,2026-09-07 22:46:08.780756+00
162,Jardín,Hotel,Hotel Plaza Jardín,3005396934,,2026-09-07 22:46:08.780756+00
163,Jardín,Hotel,Hotel Plaza Jardín,3145933475,,2026-09-07 22:46:08.780756+00
164,Jardín,Hotel,Hotel Real Jardín,3014518135,,2026-09-07 22:46:08.780756+00
165,Jardín,Hotel,Hotel Real Jardín,3211678691,,2026-09-07 22:46:08.780756+00
166,Jardín,Hotel,Hotel Valeriana,3102223344,,2026-09-07 22:46:08.780756+00
167,Jardín,Restaurante,Café Macanas,3113456789,,2026-09-07 22:46:08.780756+00
168,Jardín,Restaurante,La Palapa,31245678,,2026-09-07 22:46:08.780756+00
169,Jardín,Restaurante,Restaurante El Arriero,3135678901,,2026-09-07 22:46:08.780756+00
170,Jardín,Restaurante,Restaurante El Mirador de Jardín,3114634773,,2026-09-07 22:46:08.780756+00
171,Jardín,Restaurante,Restaurante El Mirador de Jardín,3112459877,,2026-09-07 22:46:08.780756+00
172,Jardín,Restaurante,Restaurante La Casona de Jardín,30194877,,2026-09-07 22:46:08.780756+00
173,Jardín,Restaurante,Restaurante La Casona de Jardín,3105720429,,2026-09-07 22:46:08.780756+00
174,Jardín,Restaurante,Restaurante Tradición de Jardín,3145024096,,2026-09-07 22:46:08.780756+00
175,Jardín,Restaurante,Restaurante Tradición de Jardín,3016615868,,2026-09-07 22:46:08.780756+00
176,,,,,,2026-09-07 22:46:08.780756+00
177,Jericó,Hotel,El Despertar Hotel,3123261134,,2026-09-07 22:46:08.780756+00
178,Jericó,Hotel,Hostería Las Cabañas,3134567123,,2026-09-07 22:46:08.780756+00
179,Jericó,Hotel,Hotel Boutique Jericó,3206904697,,2026-09-07 22:46:08.780756+00
180,Jericó,Hotel,Hotel Boutique Jericó,3104787232,,2026-09-07 22:46:08.780756+00
181,Jericó,Hotel,Hotel Casa del Fundador,3145678901,,2026-09-07 22:46:08.780756+00
182,Jericó,Hotel,Hotel Colonial Jericó,31117053,,2026-09-07 22:46:08.780756+00
183,Jericó,Hotel,Hotel Colonial Jericó,3145653431,,2026-09-07 22:46:08.780756+00
184,Jericó,Hotel,Hotel El Solar,31045678,,2026-09-07 22:46:08.780756+00
185,Jericó,Hotel,Hotel Piedras,3126789012,,2026-09-07 22:46:08.780756+00
186,Jericó,Hotel,Hotel Plaza Jericó,3016076457,,2026-09-07 22:46:08.780756+00
187,Jericó,Hotel,Hotel Plaza Jericó,3102472741,,2026-09-07 22:46:08.780756+00
188,Jericó,Hotel,Hotel Real Jericó,3137123723,,2026-09-07 22:46:08.780756+00
189,Jericó,Hotel,Hotel Real Jericó,3003915013,,2026-09-07 22:46:08.780756+00
190,Jericó,Restaurante,Don Rafa,3101234567,,2026-09-07 22:46:08.780756+00
191,Jericó,Restaurante,El Balcón del Café,3129012345,,2026-09-07 22:46:08.780756+00
192,Jericó,Restaurante,Restaurante El Mirador de Jericó,3139145671,,2026-09-07 22:46:08.780756+00
193,Jericó,Restaurante,Restaurante El Mirador de Jericó,3013011758,,2026-09-07 22:46:08.780756+00
194,Jericó,Restaurante,Restaurante La Casona,3118901234,,2026-09-07 22:46:08.780756+00
195,Jericó,Restaurante,Restaurante La Casona de Jericó,3206601282,,2026-09-07 22:46:08.780756+00
196,Jericó,Restaurante,Restaurante La Casona de Jericó,3107389478,,2026-09-07 22:46:08.780756+00
197,Jericó,Restaurante,Restaurante Tradición de Jericó,31192193,,2026-09-07 22:46:08.780756+00
198,Jericó,Restaurante,Restaurante Tradición de Jericó,3123491507,,2026-09-07 22:46:08.780756+00
199,,,,,,2026-09-07 22:46:08.780756+00
200,La Pintada,Hotel,Hospedaje La Pintada 2,3129300318,,2026-09-07 22:46:08.780756+00
201,La Pintada,Hotel,Hospedaje La Pintada 2,3005703531,,2026-09-07 22:46:08.780756+00
202,La Pintada,Hotel,Hospedaje La Pintada 3,3016388465,,2026-09-07 22:46:08.780756+00
203,La Pintada,Hotel,Hospedaje La Pintada 3,3002899767,,2026-09-07 22:46:08.780756+00
204,La Pintada,Hotel,Hospedaje La Pintada 4,3113591817,,2026-09-07 22:46:08.780756+00
205,La Pintada,Hotel,Hospedaje La Pintada 4,3141926691,,2026-09-07 22:46:08.780756+00
206,La Pintada,Hotel,Hotel El Amigo,3215086785,,2026-09-07 22:46:08.780756+00
207,La Pintada,Hotel,Hotel Principal La Pintada 1,3147749372,,2026-09-07 22:46:08.780756+00
208,La Pintada,Hotel,Hotel Principal La Pintada 1,31310208,,2026-09-07 22:46:08.780756+00
209,La Pintada,Restaurante,Restaurante Típico La Pintada 1,3112547179,,2026-09-07 22:46:08.780756+00
210,La Pintada,Restaurante,Restaurante Típico La Pintada 1,3127446395,,2026-09-07 22:46:08.780756+00
211,La Pintada,Restaurante,Restaurante Típico La Pintada 2,3101202273,,2026-09-07 22:46:08.780756+00
212,La Pintada,Restaurante,Restaurante Típico La Pintada 2,3136048603,,2026-09-07 22:46:08.780756+00
213,La Pintada,Restaurante,Restaurante Típico La Pintada 3,3139433465,,2026-09-07 22:46:08.780756+00
214,La Pintada,Restaurante,Restaurante Típico La Pintada 3,3114135029,,2026-09-07 22:46:08.780756+00
215,,,,,,2026-09-07 22:46:08.780756+00
216,Montebello,Hotel,Hospedaje Montebello 2,3149534402,,2026-09-07 22:46:08.780756+00
217,Montebello,Hotel,Hospedaje Montebello 2,3112136318,,2026-09-07 22:46:08.780756+00
218,Montebello,Hotel,Hospedaje Montebello 3,3148077042,,2026-09-07 22:46:08.780756+00
219,Montebello,Hotel,Hospedaje Montebello 3,3009113717,,2026-09-07 22:46:08.780756+00
220,Montebello,Hotel,Hospedaje Montebello 4,3216346109,,2026-09-07 22:46:08.780756+00
221,Montebello,Hotel,Hospedaje Montebello 4,3136321114,,2026-09-07 22:46:08.780756+00
222,Montebello,Hotel,Hotel Principal Montebello 1,3012423732,,2026-09-07 22:46:08.780756+00
223,Montebello,Hotel,Hotel Principal Montebello 1,3016880095,,2026-09-07 22:46:08.780756+00
224,Montebello,Restaurante,Restaurante Típico Montebello 1,3132810009,,2026-09-07 22:46:08.780756+00
225,Montebello,Restaurante,Restaurante Típico Montebello 1,3003551564,,2026-09-07 22:46:08.780756+00
226,Montebello,Restaurante,Restaurante Típico Montebello 2,3014526568,,2026-09-07 22:46:08.780756+00
227,Montebello,Restaurante,Restaurante Típico Montebello 2,3208460426,,2026-09-07 22:46:08.780756+00
228,Montebello,Restaurante,Restaurante Típico Montebello 3,30179027,,2026-09-07 22:46:08.780756+00
229,Montebello,Restaurante,Restaurante Típico Montebello 3,3106500918,,2026-09-07 22:46:08.780756+00
230,,,,,,2026-09-07 22:46:08.780756+00
231,Pueblorrico,Hotel,Hospedaje Pueblorrico 2,3002338594,,2026-09-07 22:46:08.780756+00
232,Pueblorrico,Hotel,Hospedaje Pueblorrico 2,3129477035,,2026-09-07 22:46:08.780756+00
233,Pueblorrico,Hotel,Hospedaje Pueblorrico 3,3104892382,,2026-09-07 22:46:08.780756+00
234,Pueblorrico,Hotel,Hospedaje Pueblorrico 3,3107263948,,2026-09-07 22:46:08.780756+00
235,Pueblorrico,Hotel,Hospedaje Pueblorrico 4,3015093127,,2026-09-07 22:46:08.780756+00
236,Pueblorrico,Hotel,Hospedaje Pueblorrico 4,3113484013,,2026-09-07 22:46:08.780756+00
237,Pueblorrico,Hotel,Hotel Principal Pueblorrico 1,3009322871,,2026-09-07 22:46:08.780756+00
238,Pueblorrico,Hotel,Hotel Principal Pueblorrico 1,31255667,,2026-09-07 22:46:08.780756+00
239,Pueblorrico,Restaurante,Restaurante Típico Pueblorrico 1,30192290,,2026-09-07 22:46:08.780756+00
240,Pueblorrico,Restaurante,Restaurante Típico Pueblorrico 1,3203728969,,2026-09-07 22:46:08.780756+00
241,Pueblorrico,Restaurante,Restaurante Típico Pueblorrico 2,31360660,,2026-09-07 22:46:08.780756+00
242,Pueblorrico,Restaurante,Restaurante Típico Pueblorrico 2,30178376,,2026-09-07 22:46:08.780756+00
243,Pueblorrico,Restaurante,Restaurante Típico Pueblorrico 3,3016337969,,2026-09-07 22:46:08.780756+00
244,Pueblorrico,Restaurante,Restaurante Típico Pueblorrico 3,3011507308,,2026-09-07 22:46:08.780756+00
245,,,,,,2026-09-07 22:46:08.780756+00
246,Salgar,Hotel,Finca Boutique El Diamante,3506428602,,2026-09-07 22:46:08.780756+00
247,Salgar,Hotel,Hospedaje Salgar 2,3138862153,,2026-09-07 22:46:08.780756+00
248,Salgar,Hotel,Hospedaje Salgar 2,31177538,,2026-09-07 22:46:08.780756+00
249,Salgar,Hotel,Hospedaje Salgar 3,3202925733,,2026-09-07 22:46:08.780756+00
250,Salgar,Hotel,Hospedaje Salgar 3,30170002,,2026-09-07 22:46:08.780756+00
251,Salgar,Hotel,Hospedaje Salgar 4,3214097867,,2026-09-07 22:46:08.780756+00
252,Salgar,Hotel,Hospedaje Salgar 4,3013165885,,2026-09-07 22:46:08.780756+00
253,Salgar,Hotel,Hotel Principal Salgar 1,31336082,,2026-09-07 22:46:08.780756+00
254,Salgar,Hotel,Hotel Principal Salgar 1,3014216122,,2026-09-07 22:46:08.780756+00
255,Salgar,Restaurante,Restaurante Típico Salgar 1,3017177191,,2026-09-07 22:46:08.780756+00
256,Salgar,Restaurante,Restaurante Típico Salgar 1,3118350595,,2026-09-07 22:46:08.780756+00
257,Salgar,Restaurante,Restaurante Típico Salgar 2,3208770049,,2026-09-07 22:46:08.780756+00
258,Salgar,Restaurante,Restaurante Típico Salgar 2,3101208575,,2026-09-07 22:46:08.780756+00
259,Salgar,Restaurante,Restaurante Típico Salgar 3,3106445704,,2026-09-07 22:46:08.780756+00
260,Salgar,Restaurante,Restaurante Típico Salgar 3,3005992329,,2026-09-07 22:46:08.780756+00
261,,,,,,2026-09-07 22:46:08.780756+00
262,Santa Bárbara,Hotel,Hospedaje Santa Bárbara 2,3148303879,,2026-09-07 22:46:08.780756+00
263,Santa Bárbara,Hotel,Hospedaje Santa Bárbara 2,3216683757,,2026-09-07 22:46:08.780756+00
264,Santa Bárbara,Hotel,Hospedaje Santa Bárbara 3,3015295043,,2026-09-07 22:46:08.780756+00
265,Santa Bárbara,Hotel,Hospedaje Santa Bárbara 3,3129582415,,2026-09-07 22:46:08.780756+00
266,Santa Bárbara,Hotel,Hospedaje Santa Bárbara 4,3107147572,,2026-09-07 22:46:08.780756+00
267,Santa Bárbara,Hotel,Hospedaje Santa Bárbara 4,3102494306,,2026-09-07 22:46:08.780756+00
268,Santa Bárbara,Hotel,Hotel Galeria Plaza,3160973094,,2026-09-07 22:46:08.780756+00
269,Santa Bárbara,Hotel,Hotel Principal Santa Bárbara 1,3016650944,,2026-09-07 22:46:08.780756+00
270,Santa Bárbara,Hotel,Hotel Principal Santa Bárbara 1,3103245153,,2026-09-07 22:46:08.780756+00
271,Santa Bárbara,Restaurante,Restaurante Típico Santa Bárbara 1,30134814,,2026-09-07 22:46:08.780756+00
272,Santa Bárbara,Restaurante,Restaurante Típico Santa Bárbara 1,3109059049,,2026-09-07 22:46:08.780756+00
273,Santa Bárbara,Restaurante,Restaurante Típico Santa Bárbara 2,3209441968,,2026-09-07 22:46:08.780756+00
274,Santa Bárbara,Restaurante,Restaurante Típico Santa Bárbara 2,3215330443,,2026-09-07 22:46:08.780756+00
275,Santa Bárbara,Restaurante,Restaurante Típico Santa Bárbara 3,3004007249,,2026-09-07 22:46:08.780756+00
276,Santa Bárbara,Restaurante,Restaurante Típico Santa Bárbara 3,3014840997,,2026-09-07 22:46:08.780756+00
277,,,,,,2026-09-07 22:46:08.780756+00
